Id,ActivityHour,mean_METs,total_METs
1503960366,2016-04-12 00:00:00,17.233333333333334,1034
1503960366,2016-04-12 01:00:00,12.833333333333334,770
1503960366,2016-04-12 02:00:00,12.466666666666667,748
1503960366,2016-04-12 03:00:00,10.0,600
1503960366,2016-04-12 04:00:00,10.066666666666666,604
1503960366,2016-04-12 05:00:00,10.066666666666666,604
1503960366,2016-04-12 06:00:00,10.066666666666666,604
1503960366,2016-04-12 07:00:00,10.033333333333333,602
1503960366,2016-04-12 08:00:00,14.433333333333334,866
1503960366,2016-04-12 09:00:00,29.85,1791
1503960366,2016-04-12 10:00:00,20.966666666666665,1258
1503960366,2016-04-12 11:00:00,16.1,966
1503960366,2016-04-12 12:00:00,15.433333333333334,926
1503960366,2016-04-12 13:00:00,14.033333333333333,842
1503960366,2016-04-12 14:00:00,23.316666666666666,1399
1503960366,2016-04-12 15:00:00,31.916666666666668,1915
1503960366,2016-04-12 16:00:00,16.0,960
1503960366,2016-04-12 17:00:00,17.5,1050
1503960366,2016-04-12 18:00:00,26.266666666666666,1576
1503960366,2016-04-12 19:00:00,22.033333333333335,1322
1503960366,2016-04-12 20:00:00,27.866666666666667,1672
1503960366,2016-04-12 21:00:00,21.2,1272
1503960366,2016-04-12 22:00:00,13.733333333333333,824
1503960366,2016-04-12 23:00:00,17.266666666666666,1036
1503960366,2016-04-13 00:00:00,14.566666666666666,874
1503960366,2016-04-13 01:00:00,10.2,612
1503960366,2016-04-13 02:00:00,10.0,600
1503960366,2016-04-13 03:00:00,11.166666666666666,670
1503960366,2016-04-13 04:00:00,10.033333333333333,602
1503960366,2016-04-13 05:00:00,10.033333333333333,602
1503960366,2016-04-13 06:00:00,10.133333333333333,608
1503960366,2016-04-13 07:00:00,12.466666666666667,748
1503960366,2016-04-13 08:00:00,14.566666666666666,874
1503960366,2016-04-13 09:00:00,28.766666666666666,1726
1503960366,2016-04-13 10:00:00,16.233333333333334,974
1503960366,2016-04-13 11:00:00,17.7,1062
1503960366,2016-04-13 12:00:00,17.466666666666665,1048
1503960366,2016-04-13 13:00:00,15.266666666666667,916
1503960366,2016-04-13 14:00:00,27.05,1623
1503960366,2016-04-13 15:00:00,16.833333333333332,1010
1503960366,2016-04-13 16:00:00,15.1,906
1503960366,2016-04-13 17:00:00,18.466666666666665,1108
1503960366,2016-04-13 18:00:00,25.066666666666666,1504
1503960366,2016-04-13 19:00:00,15.366666666666667,922
1503960366,2016-04-13 20:00:00,10.0,600
1503960366,2016-04-13 21:00:00,10.133333333333333,608
1503960366,2016-04-13 22:00:00,15.7,942
1503960366,2016-04-13 23:00:00,28.666666666666668,1720
1503960366,2016-04-14 00:00:00,11.933333333333334,716
1503960366,2016-04-14 01:00:00,11.4,684
1503960366,2016-04-14 02:00:00,10.0,600
1503960366,2016-04-14 03:00:00,10.033333333333333,602
1503960366,2016-04-14 04:00:00,10.0,600
1503960366,2016-04-14 05:00:00,10.0,600
1503960366,2016-04-14 06:00:00,10.0,600
1503960366,2016-04-14 07:00:00,10.0,600
1503960366,2016-04-14 08:00:00,10.0,600
